cardA,cardB,suited,win_count,tie_count,total
2,2,false,6026,180,38000
2,3,true,4660,624,38000
2,3,false,3240,628,38000
2,4,true,4938,663,38000
2,4,false,3369,698,38000
2,5,true,5107,758,38000
2,5,false,3488,821,38000
2,6,true,4769,742,38000
2,6,false,3181,775,38000
2,7,true,4710,763,38000
2,7,false,2879,837,38000
2,8,true,4741,824,38000
2,8,false,3133,883,38000
2,9,true,5043,809,38000
2,9,false,3308,893,38000
2,10,true,5315,932,38000
2,10,false,3583,927,38000
2,11,true,5583,933,38000
2,11,false,3852,998,38000
2,12,true,5875,966,38000
2,12,false,4336,973,38000
2,13,true,6497,1034,38000
2,13,false,4822,986,38000
2,14,true,7221,1173,38000
2,14,false,5620,1194,38000
3,3,false,6122,212,38000
3,4,true,5414,825,38000
3,4,false,3772,750,38000
3,5,true,5571,827,38000
3,5,false,4113,879,38000
3,6,true,5208,823,38000
3,6,false,3795,905,38000
3,7,true,5002,819,38000
3,7,false,3381,853,38000
3,8,true,4839,840,38000
3,8,false,3269,983,38000
3,9,true,5144,914,38000
3,9,false,3479,943,38000
3,10,true,5393,972,38000
3,10,false,3818,997,38000
3,11,true,5612,1023,38000
3,11,false,4085,1018,38000
3,12,true,6058,1005,38000
3,12,false,4402,1099,38000
3,13,true,6557,1099,38000
3,13,false,4995,1140,38000
3,14,true,7487,1186,38000
3,14,false,5958,1236,38000
4,4,false,6610,273,38000
4,5,true,6010,914,38000
4,5,false,4224,971,38000
4,6,true,5697,846,38000
4,6,false,4254,900,38000
4,7,true,5486,915,38000
4,7,false,3927,936,38000
4,8,true,5248,942,38000
4,8,false,3659,938,38000
4,9,true,5144,925,38000
4,9,false,3560,1019,38000
4,10,true,5437,1065,38000
4,10,false,3980,1136,38000
4,11,true,5791,1040,38000
4,11,false,4216,1114,38000
4,12,true,6263,1039,38000
4,12,false,4620,1142,38000
4,13,true,6763,1170,38000
4,13,false,5092,1264,38000
4,14,true,7421,1317,38000
4,14,false,6030,1260,38000
5,5,false,7029,292,38000
5,6,true,6129,956,38000
5,6,false,4673,978,38000
5,7,true,5920,959,38000
5,7,false,4393,994,38000
5,8,true,5823,989,38000
5,8,false,4332,1012,38000
5,9,true,5608,979,38000
5,9,false,4101,1088,38000
5,10,true,5598,1101,38000
5,10,false,4002,1105,38000
5,11,true,5898,1131,38000
5,11,false,4353,1139,38000
5,12,true,6372,1116,38000
5,12,false,4792,1293,38000
5,13,true,6825,1139,38000
5,13,false,5211,1258,38000
5,14,true,7723,1337,38000
5,14,false,6125,1362,38000
6,6,false,7639,315,38000
6,7,true,6367,944,38000
6,7,false,5010,1002,38000
6,8,true,6283,994,38000
6,8,false,4843,1058,38000
6,9,true,6235,939,38000
6,9,false,4757,1003,38000
6,10,true,6125,1114,38000
6,10,false,4519,1167,38000
6,11,true,6116,1127,38000
6,11,false,4440,1121,38000
6,12,true,6580,1046,38000
6,12,false,4916,1123,38000
6,13,true,6975,1148,38000
6,13,false,5493,1251,38000
6,14,true,7432,1235,38000
6,14,false,6086,1287,38000
7,7,false,8269,322,38000
7,8,true,6741,954,38000
7,8,false,5340,1066,38000
7,9,true,6640,1007,38000
7,9,false,5215,1031,38000
7,10,true,6725,1054,38000
7,10,false,5231,1112,38000
7,11,true,6546,1029,38000
7,11,false,5145,1053,38000
7,12,true,6798,1066,38000
7,12,false,5170,1131,38000
7,13,true,7310,1155,38000
7,13,false,5632,1179,38000
7,14,true,7709,1273,38000
7,14,false,6310,1284,38000
8,8,false,8850,272,38000
8,9,true,7181,939,38000
8,9,false,5882,1060,38000
8,10,true,7342,1058,38000
8,10,false,5933,1076,38000
8,11,true,7253,1047,38000
8,11,false,5919,1027,38000
8,12,true,7321,1067,38000
8,12,false,5833,1090,38000
8,13,true,7491,1016,38000
8,13,false,6073,1063,38000
8,14,true,8312,1151,38000
8,14,false,6637,1209,38000
9,9,false,10254,278,38000
9,10,true,8085,1063,38000
9,10,false,6637,1027,38000
9,11,true,7992,1007,38000
9,11,false,6582,1023,38000
9,12,true,7999,1030,38000
9,12,false,6746,945,38000
9,13,true,8391,980,38000
9,13,false,6884,991,38000
9,14,true,8566,1026,38000
9,14,false,7001,1123,38000
10,10,false,11221,357,38000
10,11,true,8804,955,38000
10,11,false,7645,1020,38000
10,12,true,9079,977,38000
10,12,false,7734,1059,38000
10,13,true,9235,993,38000
10,13,false,7876,980,38000
10,14,true,9667,1062,38000
10,14,false,8092,1069,38000
11,11,false,12911,332,38000
11,12,true,9481,879,38000
11,12,false,8217,966,38000
11,13,true,9731,903,38000
11,13,false,8324,919,38000
11,14,true,10074,942,38000
11,14,false,8600,1004,38000
12,12,false,14226,250,38000
12,13,true,10373,778,38000
12,13,false,9133,851,38000
12,14,true,10731,790,38000
12,14,false,9287,815,38000
13,13,false,16234,218,38000
13,14,true,11268,721,38000
13,14,false,10127,745,38000
14,14,false,18581,204,38000
