cardA,cardB,suited,win_count,tie_count,total
2,2,false,3473,104,22000
2,3,true,2662,358,22000
2,3,false,1844,370,22000
2,4,true,2861,360,22000
2,4,false,1959,406,22000
2,5,true,2944,445,22000
2,5,false,1956,470,22000
2,6,true,2804,435,22000
2,6,false,1824,479,22000
2,7,true,2686,439,22000
2,7,false,1676,461,22000
2,8,true,2775,471,22000
2,8,false,1797,527,22000
2,9,true,2910,467,22000
2,9,false,1921,546,22000
2,10,true,3124,518,22000
2,10,false,2089,541,22000
2,11,true,3274,533,22000
2,11,false,2243,581,22000
2,12,true,3359,567,22000
2,12,false,2528,517,22000
2,13,true,3753,594,22000
2,13,false,2806,572,22000
2,14,true,4170,687,22000
2,14,false,3301,664,22000
3,3,false,3558,125,22000
3,4,true,3124,454,22000
3,4,false,2167,461,22000
3,5,true,3200,479,22000
3,5,false,2349,507,22000
3,6,true,2963,504,22000
3,6,false,2206,506,22000
3,7,true,2833,502,22000
3,7,false,1979,481,22000
3,8,true,2833,494,22000
3,8,false,1883,576,22000
3,9,true,2971,526,22000
3,9,false,2032,573,22000
3,10,true,3095,574,22000
3,10,false,2241,587,22000
3,11,true,3244,590,22000
3,11,false,2397,579,22000
3,12,true,3452,567,22000
3,12,false,2592,614,22000
3,13,true,3757,650,22000
3,13,false,2922,658,22000
3,14,true,4274,683,22000
3,14,false,3476,731,22000
4,4,false,3805,147,22000
4,5,true,3471,524,22000
4,5,false,2455,557,22000
4,6,true,3334,490,22000
4,6,false,2448,517,22000
4,7,true,3187,517,22000
4,7,false,2294,538,22000
4,8,true,3049,561,22000
4,8,false,2064,549,22000
4,9,true,2991,548,22000
4,9,false,2029,605,22000
4,10,true,3247,620,22000
4,10,false,2325,673,22000
4,11,true,3346,594,22000
4,11,false,2441,654,22000
4,12,true,3608,619,22000
4,12,false,2707,676,22000
4,13,true,3927,680,22000
4,13,false,3002,731,22000
4,14,true,4312,738,22000
4,14,false,3457,710,22000
5,5,false,4073,159,22000
5,6,true,3522,548,22000
5,6,false,2672,573,22000
5,7,true,3456,577,22000
5,7,false,2548,579,22000
5,8,true,3388,561,22000
5,8,false,2513,603,22000
5,9,true,3320,548,22000
5,9,false,2310,640,22000
5,10,true,3236,665,22000
5,10,false,2320,649,22000
5,11,true,3460,678,22000
5,11,false,2487,667,22000
5,12,true,3675,654,22000
5,12,false,2724,783,22000
5,13,true,3972,667,22000
5,13,false,3020,774,22000
5,14,true,4501,808,22000
5,14,false,3553,826,22000
6,6,false,4429,162,22000
6,7,true,3689,553,22000
6,7,false,2904,579,22000
6,8,true,3648,599,22000
6,8,false,2802,618,22000
6,9,true,3638,548,22000
6,9,false,2811,578,22000
6,10,true,3513,648,22000
6,10,false,2592,681,22000
6,11,true,3603,625,22000
6,11,false,2586,634,22000
6,12,true,3764,611,22000
6,12,false,2860,652,22000
6,13,true,4054,672,22000
6,13,false,3204,729,22000
6,14,true,4296,685,22000
6,14,false,3575,770,22000
7,7,false,4763,197,22000
7,8,true,3909,561,22000
7,8,false,3006,597,22000
7,9,true,3883,565,22000
7,9,false,3067,599,22000
7,10,true,3878,596,22000
7,10,false,3073,659,22000
7,11,true,3771,578,22000
7,11,false,2948,629,22000
7,12,true,3998,609,22000
7,12,false,3049,633,22000
7,13,true,4255,670,22000
7,13,false,3294,700,22000
7,14,true,4422,714,22000
7,14,false,3702,722,22000
8,8,false,5137,145,22000
8,9,true,4193,544,22000
8,9,false,3431,595,22000
8,10,true,4258,629,22000
8,10,false,3399,629,22000
8,11,true,4147,606,22000
8,11,false,3474,585,22000
8,12,true,4129,620,22000
8,12,false,3449,636,22000
8,13,true,4322,568,22000
8,13,false,3485,610,22000
8,14,true,4871,673,22000
8,14,false,3841,711,22000
9,9,false,5988,154,22000
9,10,true,4679,615,22000
9,10,false,3850,612,22000
9,11,true,4615,561,22000
9,11,false,3757,587,22000
9,12,true,4606,601,22000
9,12,false,3949,531,22000
9,13,true,4914,568,22000
9,13,false,3954,563,22000
9,14,true,4984,577,22000
9,14,false,4089,645,22000
10,10,false,6532,193,22000
10,11,true,5103,576,22000
10,11,false,4443,604,22000
10,12,true,5294,543,22000
10,12,false,4494,629,22000
10,13,true,5390,581,22000
10,13,false,4643,594,22000
10,14,true,5568,643,22000
10,14,false,4679,626,22000
11,11,false,7474,191,22000
11,12,true,5474,510,22000
11,12,false,4710,577,22000
11,13,true,5671,544,22000
11,13,false,4853,552,22000
11,14,true,5756,564,22000
11,14,false,5021,605,22000
12,12,false,8198,135,22000
12,13,true,5990,454,22000
12,13,false,5299,490,22000
12,14,true,6218,473,22000
12,14,false,5338,489,22000
13,13,false,9375,130,22000
13,14,true,6493,404,22000
13,14,false,5856,424,22000
14,14,false,10709,125,22000
